areaCode,areaName,areaType,date,newCasesBySpecimenDateRollingSum
E06000022,Bath and North East Somerset,utla,2021-08-17,730
E06000022,Bath and North East Somerset,utla,2021-08-16,619
E06000022,Bath and North East Somerset,utla,2021-08-15,575
E06000022,Bath and North East Somerset,utla,2021-08-14,574
E06000022,Bath and North East Somerset,utla,2021-08-13,562
E06000022,Bath and North East Somerset,utla,2021-08-12,568
E06000022,Bath and North East Somerset,utla,2021-08-11,579
E06000022,Bath and North East Somerset,utla,2021-08-10,583
E06000022,Bath and North East Somerset,utla,2021-08-09,589
E06000022,Bath and North East Somerset,utla,2021-08-08,586
E06000022,Bath and North East Somerset,utla,2021-08-07,583
E06000022,Bath and North East Somerset,utla,2021-08-06,600
E06000022,Bath and North East Somerset,utla,2021-08-05,600
E06000022,Bath and North East Somerset,utla,2021-08-04,591
E06000022,Bath and North East Somerset,utla,2021-08-03,578
E06000022,Bath and North East Somerset,utla,2021-08-02,595
E06000022,Bath and North East Somerset,utla,2021-08-01,612
E06000022,Bath and North East Somerset,utla,2021-07-31,627
E06000022,Bath and North East Somerset,utla,2021-07-30,624
E06000022,Bath and North East Somerset,utla,2021-07-29,622
E06000022,Bath and North East Somerset,utla,2021-07-28,629
E06000022,Bath and North East Somerset,utla,2021-07-27,634
E06000022,Bath and North East Somerset,utla,2021-07-26,668
E06000022,Bath and North East Somerset,utla,2021-07-25,723
E06000022,Bath and North East Somerset,utla,2021-07-24,774
E06000022,Bath and North East Somerset,utla,2021-07-23,848
E06000022,Bath and North East Somerset,utla,2021-07-22,994
E06000022,Bath and North East Somerset,utla,2021-07-21,1179
E06000022,Bath and North East Somerset,utla,2021-07-20,1356
E06000022,Bath and North East Somerset,utla,2021-07-19,1439
E06000022,Bath and North East Somerset,utla,2021-07-18,1454
E06000022,Bath and North East Somerset,utla,2021-07-17,1425
E06000022,Bath and North East Somerset,utla,2021-07-16,1388
E06000022,Bath and North East Somerset,utla,2021-07-15,1259
E06000022,Bath and North East Somerset,utla,2021-07-14,1093
E06000022,Bath and North East Somerset,utla,2021-07-13,941
E06000022,Bath and North East Somerset,utla,2021-07-12,845
E06000022,Bath and North East Somerset,utla,2021-07-11,783
E06000022,Bath and North East Somerset,utla,2021-07-10,748
E06000022,Bath and North East Somerset,utla,2021-07-09,709
E06000022,Bath and North East Somerset,utla,2021-07-08,673
E06000022,Bath and North East Somerset,utla,2021-07-07,640
E06000022,Bath and North East Somerset,utla,2021-07-06,612
E06000022,Bath and North East Somerset,utla,2021-07-05,563
E06000022,Bath and North East Somerset,utla,2021-07-04,518
E06000022,Bath and North East Somerset,utla,2021-07-03,481
E06000022,Bath and North East Somerset,utla,2021-07-02,452
E06000022,Bath and North East Somerset,utla,2021-07-01,420
E06000022,Bath and North East Somerset,utla,2021-06-30,376
E06000022,Bath and North East Somerset,utla,2021-06-29,327
E06000022,Bath and North East Somerset,utla,2021-06-28,299
E06000022,Bath and North East Somerset,utla,2021-06-27,284
E06000022,Bath and North East Somerset,utla,2021-06-26,268
E06000022,Bath and North East Somerset,utla,2021-06-25,260
E06000022,Bath and North East Somerset,utla,2021-06-24,255
E06000022,Bath and North East Somerset,utla,2021-06-23,264
E06000022,Bath and North East Somerset,utla,2021-06-22,250
E06000022,Bath and North East Somerset,utla,2021-06-21,232
E06000022,Bath and North East Somerset,utla,2021-06-20,210
E06000022,Bath and North East Somerset,utla,2021-06-19,211
E06000022,Bath and North East Somerset,utla,2021-06-18,213
E06000022,Bath and North East Somerset,utla,2021-06-17,205
E06000022,Bath and North East Somerset,utla,2021-06-16,182
E06000022,Bath and North East Somerset,utla,2021-06-15,172
E06000022,Bath and North East Somerset,utla,2021-06-14,160
E06000022,Bath and North East Somerset,utla,2021-06-13,142
E06000022,Bath and North East Somerset,utla,2021-06-12,124
E06000022,Bath and North East Somerset,utla,2021-06-11,99
E06000022,Bath and North East Somerset,utla,2021-06-10,87
E06000022,Bath and North East Somerset,utla,2021-06-09,67
E06000022,Bath and North East Somerset,utla,2021-06-08,57
E06000022,Bath and North East Somerset,utla,2021-06-07,46
E06000022,Bath and North East Somerset,utla,2021-06-06,42
E06000022,Bath and North East Somerset,utla,2021-06-05,37
E06000022,Bath and North East Somerset,utla,2021-06-04,35
E06000022,Bath and North East Somerset,utla,2021-06-03,28
E06000022,Bath and North East Somerset,utla,2021-06-02,26
E06000022,Bath and North East Somerset,utla,2021-06-01,20
E06000022,Bath and North East Somerset,utla,2021-05-31,20
E06000022,Bath and North East Somerset,utla,2021-05-30,19
E06000022,Bath and North East Somerset,utla,2021-05-29,19
E06000022,Bath and North East Somerset,utla,2021-05-28,18
E06000022,Bath and North East Somerset,utla,2021-05-27,19
E06000022,Bath and North East Somerset,utla,2021-05-26,20
E06000022,Bath and North East Somerset,utla,2021-05-25,17
E06000022,Bath and North East Somerset,utla,2021-05-24,15
E06000022,Bath and North East Somerset,utla,2021-05-23,18
E06000022,Bath and North East Somerset,utla,2021-05-22,19
E06000022,Bath and North East Somerset,utla,2021-05-21,21
E06000022,Bath and North East Somerset,utla,2021-05-20,21
E06000022,Bath and North East Somerset,utla,2021-05-19,25
E06000022,Bath and North East Somerset,utla,2021-05-18,26
E06000022,Bath and North East Somerset,utla,2021-05-17,30
E06000022,Bath and North East Somerset,utla,2021-05-16,27
E06000022,Bath and North East Somerset,utla,2021-05-15,29
E06000022,Bath and North East Somerset,utla,2021-05-14,29
E06000022,Bath and North East Somerset,utla,2021-05-13,27
E06000022,Bath and North East Somerset,utla,2021-05-12,22
E06000022,Bath and North East Somerset,utla,2021-05-11,22
E06000022,Bath and North East Somerset,utla,2021-05-10,23
E06000022,Bath and North East Somerset,utla,2021-05-09,24
E06000022,Bath and North East Somerset,utla,2021-05-08,22
E06000022,Bath and North East Somerset,utla,2021-05-07,20
E06000022,Bath and North East Somerset,utla,2021-05-06,20
E06000022,Bath and North East Somerset,utla,2021-05-05,23
E06000022,Bath and North East Somerset,utla,2021-05-04,24
E06000022,Bath and North East Somerset,utla,2021-05-03,18
E06000022,Bath and North East Somerset,utla,2021-05-02,17
E06000022,Bath and North East Somerset,utla,2021-05-01,17
E06000022,Bath and North East Somerset,utla,2021-04-30,17
E06000022,Bath and North East Somerset,utla,2021-04-29,22
E06000022,Bath and North East Somerset,utla,2021-04-28,20
E06000022,Bath and North East Somerset,utla,2021-04-27,19
E06000022,Bath and North East Somerset,utla,2021-04-26,21
E06000022,Bath and North East Somerset,utla,2021-04-25,19
E06000022,Bath and North East Somerset,utla,2021-04-24,19
E06000022,Bath and North East Somerset,utla,2021-04-23,20
E06000022,Bath and North East Somerset,utla,2021-04-22,15
E06000022,Bath and North East Somerset,utla,2021-04-21,14
E06000022,Bath and North East Somerset,utla,2021-04-20,16
E06000022,Bath and North East Somerset,utla,2021-04-19,16
E06000022,Bath and North East Somerset,utla,2021-04-18,17
E06000022,Bath and North East Somerset,utla,2021-04-17,16
E06000022,Bath and North East Somerset,utla,2021-04-16,16
E06000022,Bath and North East Somerset,utla,2021-04-15,17
E06000022,Bath and North East Somerset,utla,2021-04-14,20
E06000022,Bath and North East Somerset,utla,2021-04-13,17
E06000022,Bath and North East Somerset,utla,2021-04-12,14
E06000022,Bath and North East Somerset,utla,2021-04-11,21
E06000022,Bath and North East Somerset,utla,2021-04-10,25
E06000022,Bath and North East Somerset,utla,2021-04-09,25
E06000022,Bath and North East Somerset,utla,2021-04-08,27
E06000022,Bath and North East Somerset,utla,2021-04-07,27
E06000022,Bath and North East Somerset,utla,2021-04-06,28
E06000022,Bath and North East Somerset,utla,2021-04-05,27
E06000022,Bath and North East Somerset,utla,2021-04-04,20
E06000022,Bath and North East Somerset,utla,2021-04-03,19
E06000022,Bath and North East Somerset,utla,2021-04-02,18
E06000022,Bath and North East Somerset,utla,2021-04-01,15
E06000022,Bath and North East Somerset,utla,2021-03-31,16
E06000022,Bath and North East Somerset,utla,2021-03-30,19
E06000022,Bath and North East Somerset,utla,2021-03-29,29
E06000022,Bath and North East Somerset,utla,2021-03-28,32
E06000022,Bath and North East Somerset,utla,2021-03-27,30
E06000022,Bath and North East Somerset,utla,2021-03-26,31
E06000022,Bath and North East Somerset,utla,2021-03-25,34
E06000022,Bath and North East Somerset,utla,2021-03-24,35
E06000022,Bath and North East Somerset,utla,2021-03-23,35
E06000022,Bath and North East Somerset,utla,2021-03-22,30
E06000022,Bath and North East Somerset,utla,2021-03-21,37
E06000022,Bath and North East Somerset,utla,2021-03-20,37
E06000022,Bath and North East Somerset,utla,2021-03-19,39
E06000022,Bath and North East Somerset,utla,2021-03-18,40
E06000022,Bath and North East Somerset,utla,2021-03-17,37
E06000022,Bath and North East Somerset,utla,2021-03-16,35
E06000022,Bath and North East Somerset,utla,2021-03-15,34
E06000022,Bath and North East Somerset,utla,2021-03-14,28
E06000022,Bath and North East Somerset,utla,2021-03-13,29
E06000022,Bath and North East Somerset,utla,2021-03-12,33
E06000022,Bath and North East Somerset,utla,2021-03-11,34
E06000022,Bath and North East Somerset,utla,2021-03-10,35
E06000022,Bath and North East Somerset,utla,2021-03-09,45
E06000022,Bath and North East Somerset,utla,2021-03-08,48
E06000022,Bath and North East Somerset,utla,2021-03-07,52
E06000022,Bath and North East Somerset,utla,2021-03-06,55
E06000022,Bath and North East Somerset,utla,2021-03-05,54
E06000022,Bath and North East Somerset,utla,2021-03-04,56
E06000022,Bath and North East Somerset,utla,2021-03-03,64
E06000022,Bath and North East Somerset,utla,2021-03-02,63
E06000022,Bath and North East Somerset,utla,2021-03-01,67
E06000022,Bath and North East Somerset,utla,2021-02-28,68
E06000022,Bath and North East Somerset,utla,2021-02-27,70
E06000022,Bath and North East Somerset,utla,2021-02-26,77
E06000022,Bath and North East Somerset,utla,2021-02-25,84
E06000022,Bath and North East Somerset,utla,2021-02-24,92
E06000022,Bath and North East Somerset,utla,2021-02-23,85
E06000022,Bath and North East Somerset,utla,2021-02-22,89
E06000022,Bath and North East Somerset,utla,2021-02-21,92
E06000022,Bath and North East Somerset,utla,2021-02-20,102
E06000022,Bath and North East Somerset,utla,2021-02-19,97
E06000022,Bath and North East Somerset,utla,2021-02-18,97
E06000022,Bath and North East Somerset,utla,2021-02-17,98
E06000022,Bath and North East Somerset,utla,2021-02-16,124
E06000022,Bath and North East Somerset,utla,2021-02-15,131
E06000022,Bath and North East Somerset,utla,2021-02-14,147
E06000022,Bath and North East Somerset,utla,2021-02-13,146
