regionCode,regionName,UtlaCode,UtlaName,LtlaCode,LtlaName,areaCode,areaName,areaType,date,newCasesBySpecimenDateRollingSum
E12000009,South West,E06000022,Bath and North East Somerset,E06000022,Bath and North East Somerset,E02002985,Keynsham North,msoa,2021-08-17,32
E12000009,South West,E06000022,Bath and North East Somerset,E06000022,Bath and North East Somerset,E02002986,Keynsham South,msoa,2021-08-17,24
E12000009,South West,E06000022,Bath and North East Somerset,E06000022,Bath and North East Somerset,E02002987,Keynsham East,msoa,2021-08-17,16
E12000009,South West,E06000022,Bath and North East Somerset,E06000022,Bath and North East Somerset,E02002988,Lambridge & Fairfield Park,msoa,2021-08-17,23
E12000009,South West,E06000022,Bath and North East Somerset,E06000022,Bath and North East Somerset,E02002989,Weston,msoa,2021-08-17,21
E12000009,South West,E06000022,Bath and North East Somerset,E06000022,Bath and North East Somerset,E02002990,Walcot,msoa,2021-08-17,39
E12000009,South West,E06000022,Bath and North East Somerset,E06000022,Bath and North East Somerset,E02002991,Central Bath & Lansdown,msoa,2021-08-17,52
E12000009,South West,E06000022,Bath and North East Somerset,E06000022,Bath and North East Somerset,E02002992,Newbridge,msoa,2021-08-17,33
E12000009,South West,E06000022,Bath and North East Somerset,E06000022,Bath and North East Somerset,E02002993,Kingsmead,msoa,2021-08-17,20
E12000009,South West,E06000022,Bath and North East Somerset,E06000022,Bath and North East Somerset,E02002994,Bathavon North & South,msoa,2021-08-17,35
E12000009,South West,E06000022,Bath and North East Somerset,E06000022,Bath and North East Somerset,E02002995,Twerton,msoa,2021-08-17,21
E12000009,South West,E06000022,Bath and North East Somerset,E06000022,Bath and North East Somerset,E02002996,"Widcombe, Bathwick Hill & Claverton Down",msoa,2021-08-17,50
E12000009,South West,E06000022,Bath and North East Somerset,E06000022,Bath and North East Somerset,E02002997,Oldfield Park West,msoa,2021-08-17,22
E12000009,South West,E06000022,Bath and North East Somerset,E06000022,Bath and North East Somerset,E02002998,Oldfield Park East,msoa,2021-08-17,21
E12000009,South West,E06000022,Bath and North East Somerset,E06000022,Bath and North East Somerset,E02002999,Southdown,msoa,2021-08-17,17
E12000009,South West,E06000022,Bath and North East Somerset,E06000022,Bath and North East Somerset,E02003000,"Saltford, Farmborough & Timsbury",msoa,2021-08-17,43
